[2024-11-10 01:33:43] Starting processing of /home/ubuntu/quantumLeap/data/input/Step_2_Classic_Texts_and_Ethnographies/2.1_Public_Domain_Books/Project_Gutenberg/psychology_of_unconscious.txt
[2024-11-10 01:33:43] Processing section 336: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 337: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 339: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 340: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 341: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 342: SectionType.HEADER, 15 tokens
[2024-11-10 01:33:43] Processing section 344: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 346: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 348: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 350: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 352: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 354: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 356: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 357: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 359: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 360: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 362: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 364: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 366: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 368: SectionType.HEADER, 16 tokens
[2024-11-10 01:33:43] Processing section 370: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 372: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 374: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 376: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 378: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 380: SectionType.HEADER, 15 tokens
[2024-11-10 01:33:43] Processing section 382: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 384: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 385: SectionType.HEADER, 15 tokens
[2024-11-10 01:33:43] Processing section 386: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 388: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 389: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 391: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 392: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 394: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 396: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 398: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 400: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 402: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 404: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 406: SectionType.HEADER, 15 tokens
[2024-11-10 01:33:43] Processing section 408: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 409: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 411: SectionType.HEADER, 13 tokens
